env_type,distance_m,num_walls,has_metal,frequency_mhz,ant_0_rssi_dbm,ant_1_rssi_dbm,ant_2_rssi_dbm,best_ant
urban,88.337,0,1,915.0,-96.534,-94.212,-91.237,2
urban,26.495,0,0,2400.0,-66.027,-65.781,-68.76,1
rural,89.239,0,0,915.0,-74.6,-69.707,-70.228,1
urban,71.551,0,1,2400.0,-86.261,-86.445,-87.455,0
urban,9.717,0,0,2400.0,-51.109,-56.979,-58.444,0
indoor,94.442,0,0,2400.0,-90.655,-91.316,-88.628,2
urban,166.703,0,0,915.0,-94.997,-92.053,-92.942,1
indoor,136.817,0,0,915.0,-96.883,-96.829,-96.374,2
urban,156.365,0,0,2400.0,-89.73,-84.804,-91.906,1
urban,113.482,0,0,2400.0,-84.876,-83.317,-84.205,1
indoor,7.133,1,0,2400.0,-61.231,-61.396,-58.855,2
indoor,132.721,2,0,2400.0,-98.846,-102.343,-102.596,0
indoor,144.75,1,0,2400.0,-96.502,-96.655,-99.565,0
indoor,126.426,1,0,915.0,-101.984,-98.991,-102.655,1
indoor,193.866,2,0,915.0,-109.581,-107.132,-113.951,1
indoor,116.265,0,1,915.0,-100.685,-102.689,-101.184,0
urban,117.235,0,0,2400.0,-85.216,-84.615,-82.967,2
indoor,29.76,0,0,915.0,-78.161,-79.378,-78.436,0
indoor,118.592,0,1,915.0,-100.348,-99.536,-97.04,2
urban,187.627,0,0,915.0,-100.093,-93.394,-96.695,1
urban,88.343,0,0,915.0,-85.265,-85.354,-88.146,0
indoor,134.776,0,0,2400.0,-88.769,-93.563,-92.432,0
rural,46.813,0,0,915.0,-61.105,-68.179,-62.23,0
indoor,190.627,0,0,2400.0,-97.807,-100.043,-98.29,0
indoor,87.584,5,0,915.0,-109.588,-106.295,-108.389,1
urban,53.23,0,1,2400.0,-85.827,-77.779,-78.797,1
indoor,36.674,2,0,2400.0,-84.217,-83.944,-85.339,1
indoor,46.702,0,0,2400.0,-84.505,-80.202,-83.188,1
urban,40.755,0,0,915.0,-79.621,-75.528,-77.415,1
indoor,98.228,2,1,2400.0,-102.627,-102.161,-103.326,1
indoor,28.928,2,1,2400.0,-89.798,-88.316,-87.05,2
indoor,166.056,1,0,2400.0,-102.064,-101.431,-103.3,1
urban,173.631,0,0,2400.0,-93.488,-92.512,-86.378,2
indoor,14.245,1,0,915.0,-72.633,-71.279,-69.122,2
indoor,57.659,0,0,2400.0,-82.792,-82.246,-85.214,1
urban,136.462,0,0,915.0,-90.034,-90.081,-90.814,0
rural,9.652,0,0,2400.0,-44.759,-45.959,-47.727,0
indoor,75.349,1,0,915.0,-91.883,-91.839,-97.801,1
rural,180.628,0,1,915.0,-83.858,-84.086,-83.148,2
indoor,107.678,2,0,2400.0,-96.822,-97.224,-99.894,0
urban,83.961,0,0,915.0,-82.883,-85.164,-85.096,0
urban,60.078,0,1,915.0,-85.54,-81.965,-83.953,1
urban,169.864,0,0,915.0,-94.302,-92.694,-95.204,1
urban,41.279,0,0,2400.0,-73.901,-69.996,-72.247,1
urban,17.814,0,1,2400.0,-72.501,-70.366,-66.493,2
urban,159.228,0,1,915.0,-98.697,-101.12,-100.357,0
urban,35.087,0,0,915.0,-80.223,-73.034,-74.215,1
urban,98.938,0,0,2400.0,-85.153,-81.698,-88.329,1
indoor,131.915,2,0,2400.0,-99.323,-99.933,-103.767,0
indoor,32.365,0,1,2400.0,-83.248,-81.615,-78.599,2
urban,187.292,0,0,2400.0,-91.129,-87.336,-89.716,1
rural,24.577,0,1,915.0,-67.169,-71.365,-60.545,2
urban,3.448,0,0,2400.0,-47.444,-47.818,-47.0,2
indoor,183.77,1,1,2400.0,-106.592,-108.608,-107.28,0
indoor,199.822,2,1,2400.0,-113.081,-112.468,-112.527,1
indoor,182.217,1,0,915.0,-102.327,-109.883,-108.542,0
indoor,170.032,0,0,2400.0,-95.721,-94.193,-94.597,1
indoor,41.155,0,0,2400.0,-74.349,-78.202,-81.526,0
indoor,147.19,0,0,915.0,-93.731,-101.989,-97.951,0
urban,9.428,0,1,2400.0,-66.686,-59.288,-64.322,1
indoor,196.025,2,0,915.0,-105.58,-110.239,-113.474,0
urban,130.197,0,1,915.0,-95.387,-95.973,-95.374,2
urban,24.724,0,0,2400.0,-64.724,-69.028,-67.282,0
urban,82.95,0,0,915.0,-88.87,-89.378,-87.589,2
indoor,84.262,1,0,915.0,-95.059,-95.252,-94.478,2
indoor,157.699,1,0,2400.0,-92.241,-98.877,-96.852,0
rural,184.29,0,0,2400.0,-77.559,-74.434,-76.439,1
urban,24.055,0,0,2400.0,-64.38,-65.676,-68.508,0
indoor,35.426,1,0,915.0,-86.14,-79.493,-81.065,1
urban,24.815,0,0,2400.0,-68.816,-60.906,-67.07,1
indoor,137.845,1,0,915.0,-98.675,-100.291,-99.882,0
indoor,167.425,4,0,915.0,-114.87,-110.626,-114.335,1
urban,94.396,0,0,915.0,-87.58,-84.628,-90.273,1
indoor,98.549,1,0,915.0,-100.361,-98.711,-96.426,2
urban,134.37,0,0,2400.0,-89.786,-84.997,-86.308,1
rural,97.032,0,0,915.0,-67.865,-72.87,-71.62,0
urban,170.205,0,0,2400.0,-91.321,-91.758,-90.913,2
rural,126.536,0,0,915.0,-73.08,-73.181,-73.629,0
rural,90.193,0,0,915.0,-72.468,-71.343,-72.447,1
urban,196.379,0,0,2400.0,-88.594,-91.845,-91.505,0
urban,192.679,0,0,915.0,-93.298,-89.391,-97.926,1
urban,131.166,0,1,2400.0,-96.037,-91.859,-89.128,2
urban,69.952,0,0,915.0,-83.895,-83.437,-80.704,2
urban,195.605,0,0,915.0,-96.71,-91.38,-96.735,1
rural,185.016,0,0,915.0,-82.946,-77.087,-79.218,1
urban,142.938,0,0,915.0,-93.491,-93.981,-89.59,2
indoor,47.672,2,0,915.0,-88.713,-91.724,-91.82,0
urban,48.294,0,1,2400.0,-77.238,-74.392,-82.978,1
urban,79.991,0,0,2400.0,-83.966,-79.233,-80.571,1
urban,161.679,0,1,2400.0,-95.004,-95.777,-96.489,0
urban,199.518,0,0,2400.0,-91.489,-92.376,-87.98,2
indoor,73.71,0,0,2400.0,-84.527,-88.198,-86.582,0
indoor,84.656,3,1,915.0,-111.143,-106.399,-109.311,1
urban,118.558,0,0,915.0,-90.998,-91.806,-87.024,2
indoor,174.989,0,0,915.0,-100.774,-98.815,-99.694,1
rural,135.245,0,0,2400.0,-74.175,-73.911,-72.82,2
urban,21.277,0,0,915.0,-67.663,-68.362,-65.968,2
rural,21.498,0,0,2400.0,-62.749,-59.257,-57.936,2
urban,63.201,0,0,2400.0,-78.562,-75.297,-81.56,1
indoor,61.112,1,0,915.0,-87.972,-92.814,-90.657,0
urban,98.411,0,0,915.0,-87.839,-88.818,-87.102,2
indoor,49.254,2,0,915.0,-88.411,-93.679,-94.028,0
urban,30.94,0,0,915.0,-72.279,-71.879,-70.93,2
indoor,23.015,1,0,915.0,-79.161,-81.759,-77.262,2
rural,124.205,0,0,2400.0,-74.416,-72.054,-71.631,2
urban,121.081,0,1,2400.0,-89.203,-93.845,-90.606,0
urban,120.546,0,0,2400.0,-84.141,-83.899,-85.839,1
indoor,4.788,0,0,915.0,-47.816,-48.198,-49.522,0
rural,119.172,0,0,2400.0,-74.557,-70.731,-70.373,2
rural,1.798,0,0,915.0,-32.742,-34.7,-35.107,0
rural,176.196,0,0,915.0,-78.672,-79.86,-79.32,0
indoor,133.061,1,0,2400.0,-93.873,-94.657,-98.124,0
urban,111.155,0,0,2400.0,-81.822,-81.79,-86.071,1
rural,84.435,0,0,2400.0,-69.336,-70.175,-66.898,2
urban,19.72,0,1,2400.0,-70.152,-69.58,-74.311,1
indoor,40.709,2,0,915.0,-92.424,-88.197,-88.592,1
urban,148.602,0,0,2400.0,-84.541,-90.764,-90.094,0
rural,159.821,0,0,2400.0,-70.804,-69.679,-73.913,1
